EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	TRAIN_PRECISION	TRAIN_RECALL	TRAIN_ACCURACY	TRAIN_F-SCORE	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_ACCURACY	DEV_F-SCORE	TEST_LOSS	TEST_PRECISION	TEST_RECALL	TEST_ACCURACY	TEST_F-SCORE
0	13:17:35	0	0.1000	0.011559616250901019		_	_	_	_	0.09875417500734329	0.5075	0.5075	0.34	0.5075	_	0.4314	0.4314	0.275	0.4314
1	13:17:58	0	0.1000	0.013049460387665527		_	_	_	_	0.11337502300739288	0.465	0.465	0.3029	0.465	_	0.4006	0.4006	0.2505	0.4006
2	13:18:18	1	0.1000	0.011998625522996124		_	_	_	_	0.0928557813167572	0.54	0.54	0.3699	0.54	_	0.4494	0.4494	0.2898	0.4494
3	13:18:39	2	0.1000	0.009536514661696175		_	_	_	_	0.08823283016681671	0.5175	0.5175	0.3491	0.5175	_	0.4494	0.4494	0.2898	0.4494
4	13:19:07	0	0.1000	0.008175516356313837		_	_	_	_	0.0889083743095398	0.5525	0.5525	0.3817	0.5525	_	0.4564	0.4564	0.2957	0.4564
5	13:19:30	0	0.1000	0.009167042325528332		_	_	_	_	0.09091752767562866	0.5125	0.5125	0.3445	0.5125	_	0.4474	0.4474	0.2882	0.4474
6	13:19:50	1	0.1000	0.010513651165085482		_	_	_	_	0.08990836888551712	0.5275	0.5275	0.3582	0.5275	_	0.4571	0.4571	0.2962	0.4571
7	13:20:11	2	0.1000	0.008050210773944855		_	_	_	_	0.09506222605705261	0.525	0.525	0.3559	0.525	_	0.4404	0.4404	0.2824	0.4404
8	13:20:35	0	0.1000	0.00913375836945169		_	_	_	_	0.08951960504055023	0.5125	0.5125	0.3445	0.5125	_	0.4538	0.4538	0.2935	0.4538
9	13:20:56	1	0.1000	0.008403133457153652		_	_	_	_	0.09074932336807251	0.5275	0.5275	0.3582	0.5275	_	0.4654	0.4654	0.3033	0.4654
10	13:21:16	2	0.1000	0.008792080813410107		_	_	_	_	0.09202617406845093	0.515	0.515	0.3468	0.515	_	0.4571	0.4571	0.2962	0.4571
11	13:21:37	3	0.1000	0.008454820876476142		_	_	_	_	0.09281966835260391	0.525	0.525	0.3559	0.525	_	0.4276	0.4276	0.2719	0.4276
12	13:21:57	0	0.0500	0.0059458609350213545		_	_	_	_	0.09035976231098175	0.55	0.55	0.3793	0.55	_	0.4564	0.4564	0.2957	0.4564
13	13:22:22	0	0.0500	0.005132426372122899		_	_	_	_	0.09526494890451431	0.54	0.54	0.3699	0.54	_	0.4429	0.4429	0.2845	0.4429
14	13:22:47	0	0.0500	0.005648026410614898		_	_	_	_	0.09309279173612595	0.535	0.535	0.3652	0.535	_	0.4532	0.4532	0.293	0.4532
