INFO:root:Feature_selection = None
INFO:root:Algorithm = MNB
INFO:root:Runtime = Hyperparameter optimization in Gaussian Naive Bayes with alpha = np.linspace(0.1,3,300) default parameters. All features used.
 Validation set has 400 points.
INFO:root:alpha = 0.1 	 Train F1 = 0.9964274956244235 	 Validation F1 = 0.8994922860068251
INFO:root:alpha = 0.1096989966555184 	 Train F1 = 0.9964274956244235 	 Validation F1 = 0.8994922860068251
INFO:root:alpha = 0.11939799331103679 	 Train F1 = 0.9959188533549594 	 Validation F1 = 0.8994826816000482
INFO:root:alpha = 0.1290969899665552 	 Train F1 = 0.9959188533549594 	 Validation F1 = 0.8994826816000482
INFO:root:alpha = 0.1387959866220736 	 Train F1 = 0.9954107164417754 	 Validation F1 = 0.9019045447636418
INFO:root:alpha = 0.14849498327759197 	 Train F1 = 0.9943923596453084 	 Validation F1 = 0.9045051007211323
INFO:root:alpha = 0.15819397993311038 	 Train F1 = 0.993872207829456 	 Validation F1 = 0.9045051007211323
INFO:root:alpha = 0.16789297658862878 	 Train F1 = 0.993872207829456 	 Validation F1 = 0.9045051007211323
INFO:root:alpha = 0.17759197324414716 	 Train F1 = 0.993872207829456 	 Validation F1 = 0.9019463153791513
INFO:root:alpha = 0.18729096989966554 	 Train F1 = 0.993872207829456 	 Validation F1 = 0.9044022158344055
INFO:root:alpha = 0.19698996655518394 	 Train F1 = 0.9928428150521423 	 Validation F1 = 0.9045239693905187
INFO:root:alpha = 0.20668896321070235 	 Train F1 = 0.9928428150521423 	 Validation F1 = 0.9045239693905187
INFO:root:alpha = 0.21638795986622072 	 Train F1 = 0.9923362116854944 	 Validation F1 = 0.9045239693905187
INFO:root:alpha = 0.22608695652173913 	 Train F1 = 0.9923362116854944 	 Validation F1 = 0.9020167379509849
INFO:root:alpha = 0.23578595317725753 	 Train F1 = 0.9918280212511218 	 Validation F1 = 0.9020167379509849
INFO:root:alpha = 0.2454849498327759 	 Train F1 = 0.9918280212511218 	 Validation F1 = 0.9046296710123558
INFO:root:alpha = 0.25518394648829434 	 Train F1 = 0.9918280212511218 	 Validation F1 = 0.9046296710123558
INFO:root:alpha = 0.2648829431438127 	 Train F1 = 0.9918280212511218 	 Validation F1 = 0.9046296710123558
INFO:root:alpha = 0.2745819397993311 	 Train F1 = 0.9913097798976493 	 Validation F1 = 0.9020118746578638
INFO:root:alpha = 0.28428093645484953 	 Train F1 = 0.9913097798976493 	 Validation F1 = 0.9045292639134449
INFO:root:alpha = 0.29397993311036785 	 Train F1 = 0.9913097798976493 	 Validation F1 = 0.9045292639134449
INFO:root:alpha = 0.3036789297658863 	 Train F1 = 0.9913097798976493 	 Validation F1 = 0.9021928940403415
INFO:root:alpha = 0.3133779264214047 	 Train F1 = 0.9908011487905375 	 Validation F1 = 0.9022028088504049
INFO:root:alpha = 0.32307692307692304 	 Train F1 = 0.9908011487905375 	 Validation F1 = 0.8996550883816224
INFO:root:alpha = 0.33277591973244147 	 Train F1 = 0.9902934466759983 	 Validation F1 = 0.8996550883816224
INFO:root:alpha = 0.3424749163879599 	 Train F1 = 0.9902934466759983 	 Validation F1 = 0.8971957021893523
INFO:root:alpha = 0.3521739130434782 	 Train F1 = 0.9902934466759983 	 Validation F1 = 0.8971957021893523
INFO:root:alpha = 0.36187290969899666 	 Train F1 = 0.9897726317085036 	 Validation F1 = 0.8971957021893523
INFO:root:alpha = 0.3715719063545151 	 Train F1 = 0.9897726317085036 	 Validation F1 = 0.8971957021893523
INFO:root:alpha = 0.3812709030100334 	 Train F1 = 0.9897726317085036 	 Validation F1 = 0.8971957021893523
